snapped_at,price,market_cap,total_volume
2018-05-04 00:00:00 UTC,9551.13518381566,162498830620.22900,1228125377.9488500
2018-05-05 00:00:00 UTC,9634.53822597227,163935762593.6640,2695999383.5138500
2018-05-06 00:00:00 UTC,9766.24448548887,166195961946.18,2617990803.561580
2018-05-07 00:00:00 UTC,9583.87174550137,163109111220.656,2626417557.0669200
2018-05-08 00:00:00 UTC,9308.26502572185,158435513589.56000,2767085706.197570
2018-05-09 00:00:00 UTC,9149.51783314723,155749835750.4750,2455200521.7337300
2018-05-10 00:00:00 UTC,9248.96039558449,157460887034.23200,2363841215.4382
2018-05-11 00:00:00 UTC,8969.94037574258,152728483795.6560,2359598426.330250
2018-05-12 00:00:00 UTC,8405.5605632418,143131877388.73500,3726075355.3037000
2018-05-13 00:00:00 UTC,8480.58037612559,144426929746.49600,2995955136.9111700
2018-05-14 00:00:00 UTC,8683.9862031429,147906738510.20500,2283320839.5720100
2018-05-15 00:00:00 UTC,8696.97400387283,148142733211.5190,3143239503.891290
2018-05-16 00:00:00 UTC,8473.34864905366,144348790079.53500,2586241489.8424900
2018-05-17 00:00:00 UTC,8343.1252216955,142149224754.09800,2772906142.3921100
2018-05-18 00:00:00 UTC,8056.05319237475,137271416445.43800,2173653717.1690400
2018-05-19 00:00:00 UTC,8202.82540955214,139787112156.34100,2127912775.3863200
2018-05-20 00:00:00 UTC,8180.62700991409,139424471286.71800,1672351902.7302600
2018-05-21 00:00:00 UTC,8443.26024591542,143916527618.282,1660868681.4973900
2018-05-22 00:00:00 UTC,8354.99633591748,142427831413.29400,1711697912.2659800
2018-05-23 00:00:00 UTC,8009.2995067828,136550347058.65200,1895031387.309460
2018-05-24 00:00:00 UTC,7556.31604292077,128842835523.63500,2777184892.7350800
2018-05-25 00:00:00 UTC,7563.43546544346,128977752305.11400,2602938656.909350
2018-05-26 00:00:00 UTC,7472.02260174872,127435061535.96600,1959178260.217830
2018-05-27 00:00:00 UTC,7328.87167436352,125008468874.28700,1289488237.4471500
2018-05-28 00:00:00 UTC,7326.64394017867,124985768473.80300,1247227035.27444
2018-05-29 00:00:00 UTC,7111.06892466996,121322210033.3440,1770692328.4028200
2018-05-30 00:00:00 UTC,7451.2308372653,127138205821.77700,2224251684.1663900
2018-05-31 00:00:00 UTC,7380.8515577098,125953862789.74000,1772428207.794570
2018-06-01 00:00:00 UTC,7460.16694986577,127322669333.3590,1714862985.0808500
2018-06-02 00:00:00 UTC,7487.07630453815,127797556817.80000,1637953742.8095600
2018-06-03 00:00:00 UTC,7567.51293761927,129185013358.09900,1531230053.8451500
2018-06-04 00:00:00 UTC,7639.87944568278,130436135448.66800,1432775393.8161400
2018-06-05 00:00:00 UTC,7463.65499554503,127444424300.66500,1643488925.3603000
2018-06-06 00:00:00 UTC,7569.01133988542,129259980382.17700,1754013549.8288000
2018-06-07 00:00:00 UTC,7605.57848860797,129898428226.34800,1562705992.3836500
2018-06-08 00:00:00 UTC,7613.77739337755,130052073722.89100,1459894514.226810
2018-06-09 00:00:00 UTC,7561.16610052452,129167113170.94900,1362045102.4224600
2018-06-10 00:00:00 UTC,7415.00137858946,126683533782.87300,1102262799.2104000
2018-06-11 00:00:00 UTC,6767.49948454925,115631864817.82800,2788497500.7839500
2018-06-12 00:00:00 UTC,6880.13364875604,117568067796.62600,1973448735.786420
